Livre,Book,Vol,Series,Series CH,Start Page,End page,Region,Type of Place,Place Raw,"Place Raw, Paris, France",Quartier,Lat,Long,Description,Types Involved,Characters (Full Name),Characters (CSV),Shop Name,Store Type,Historical Figures,Date,WikiURL,ImageURL,Discourse
La messe de l'athée,MA,VII,La Comédie Humaine,Scènes de la vie privée,89,89,Outer Left-Bank Faubourgs,Residence,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Water-carrier lives in the Saint-Jacques quarter,,Water-carrier,Water-carrier,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
La peau de chagrin,PC,XXVII,La Comédie Humaine,études philosophiques,211,211,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Mme Gaudin could purchase the whole Saint-Jacques quarter,,Mme Gaudin,Mme Gaudin,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,35,35,Outer Left-Bank Faubourgs,Residence,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Phéllion lives in the Saint-Jacques quarter,,Phéllion,Phéllion,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,38,38,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Barniol is held in esteem in the Saint-Jacques quarter,,Barniol,Barniol,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,54,54,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Théodose belonged to the poverty of the Saint-Jacques quarter,,Théodose,Théodose,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,56,56,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Théodose belonged to the poverty of the Saint-Jacques quarter,,Théodose,Théodose,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,112,112,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Théodose belonged to the poverty of the Saint-Jacques quarter,,Théodose,Théodose,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,128,128,Outer Left-Bank Faubourgs,Residence,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,House where Cérizet conducts his business is characteristic of the faubourg Saint-Jacques,,Cérizet,Cérizet,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Description
Ferragus,F,XIII,La Comédie Humaine,Scènes de la vie parisienne,84,86,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Description of the grisette,Grisette,,,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Description
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,10,10,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,The change in quarters at Saint-Jacques,,,,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Description
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,361,361,Outer Left-Bank Faubourgs,Region,Plaine de Montrouge,"""Plaine de Montrouge, Paris, France""",Saint-Jacques,48.8172,2.3219,Silk-worm industry in the plaine de Montrouge,,,,,,,,,,Description
Le père Goriot,PG,VI,La Comédie Humaine,Scènes de la vie privée,222,222,Outer Left-Bank Faubourgs,Region,Heights of Montrouge,"""Heights of Montrouge, Paris, France""",Saint-Jacques,48.8172,2.3219,Heights of Montrouge,,,,,,,,,,Description
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,6,6,Outer Left-Bank Faubourgs,Quarter,Quartier d'Enfer,"""Quartier d'Enfer, Paris, France""",Saint-Jacques,48.851907,2.344143,Time when the Enfer quarter enjoyed favor,,,,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Description
Un début dans la vie,DV,II,La Comédie Humaine,Scènes de la vie privée,358,358,Outer Left-Bank Faubourgs,Quarter,Monparnasse,"""Monparnasse, Paris, France""",Montparnasse,48.8431549,2.3241911,Montparnasse,,,,,,,,,,Description
Ferragus,F,XIII,La Comédie Humaine,Scènes de la vie parisienne,148,148,Outer Left-Bank Faubourgs,Quarter,Monparnasse quarter,"""Monparnasse quarter, Paris, France""",Montparnasse,48.8431549,2.3241911,Description of a part of the Montparnasse quarter,,,,,,,,,,Description
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,114,114,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,Event
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,119,119,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,241,241,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,278,278,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,
Mémoires de deux jeunes mariées,MDJM,I,La Comédie Humaine,Scènes de la vie privée,373,373,Outer Left-Bank Faubourgs,Park,Saint-Cloud park,"""Saint-Cloud park, Paris, France""",Saint-Cloud,48.82845,2.218867,Saint-Cloud park,,,,,,,,,,Description
La Maison Nucingen,MN,XIV,La Comédie Humaine,Scènes de la vie parisienne,389,389,Outer Left-Bank Faubourgs,Residence,rue du Cherche-Midi,"""rue du Cherche-Midi, Paris, France""",,48.848027,2.323698,The Matifats live in the rue du Cherche-Midi,,Matifats,Matifats,,,,,,,Fact
La Maison Nucingen,MN,XIV,La Comédie Humaine,Scènes de la vie parisienne,390,390,Outer Left-Bank Faubourgs,Residence,rue du Cherche-Midi,"""rue du Cherche-Midi, Paris, France""",,48.848027,2.323698,The Matifats live in the rue du Cherche-Midi,,Matifats,Matifats,,,,,,,
La Maison Nucingen,MN,XIV,La Comédie Humaine,Scènes de la vie parisienne,417,417,Outer Left-Bank Faubourgs,Residence,rue du Cherche-Midi,"""rue du Cherche-Midi, Paris, France""",,48.848027,2.323698,The Matifats live in the rue du Cherche-Midi,,Matifats,Matifats,,,,,,,
La Rabouilleuse,R,IX,La Comédie Humaine,Scènes de la vie de province,355,355,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Agathe and Joseph pass through the rue d'Enfer in the stagecoach,,Agathe::Joseph,"""Agathe, Joseph""",,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Event
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,363,363,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Lucien takes a one-horse chaise in the rue d'Enfer,,Lucien,Lucien,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Event
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,353,353,Outer Left-Bank Faubourgs,Residence,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Doctor Berton lives in the rue d'Enfer,,Doctor Berton,Doctor Berton,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Fact
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,355,355,Outer Left-Bank Faubourgs,Residence,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Doctor Berton lives in the rue d'Enfer,,Doctor Berton,Doctor Berton,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,375,375,Outer Left-Bank Faubourgs,Residence,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Doctor Berton lives in the rue d'Enfer,,Doctor Berton,Doctor Berton,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,451,451,Outer Left-Bank Faubourgs,Residence,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Doctor Berton lives in the rue d'Enfer,,Doctor Berton,Doctor Berton,,,,,,,
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,159,159,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Haymarket in the rue d'Enfer,,,,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Description
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,32,32,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Mme Colleville moves to the rue d'Enfer in 1833,,Mme Colleville,Mme Colleville,,,,1833,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Event
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,71,71,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Mme Colleville moves to the rue d'Enfer in 1833,,Mme Colleville,Mme Colleville,,,,1833,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,73,73,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Mme Colleville moves to the rue d'Enfer in 1833,,Mme Colleville,Mme Colleville,,,,1833,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,74,74,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Mme Colleville moves to the rue d'Enfer in 1833,,Mme Colleville,Mme Colleville,,,,1833,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,74,74,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,Mme Colleville moves to the rue d'Enfer in 1833,,Mme Colleville,Mme Colleville,,,,1833,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,375,375,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,rue d'Enfer,,,,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,5,5,Outer Left-Bank Faubourgs,Street,rue d'Enfer,"""rue d'Enfer, Paris, France""",Sorbonne,48.851907,2.344143,rue d'Enfer,,,,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Fact
Ferragus,F,XIII,La Comédie Humaine,Scènes de la vie parisienne,149,149,Outer Left-Bank Faubourgs,Street,rue de l'Est,"""rue de l'Est, Paris, France""",Faubourg Saint-Jacques,48.870978,2.394198,Jules follows the rue de l'Est,,Jules,Jules,,,,,,,Event
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,96,96,Outer Left-Bank Faubourgs,Street,rue du Faubourg Saint-Jacques,"""rue du Faubourg Saint-Jacques, Paris, France""",Faubourg Saint-Jacques,48.836743,2.338293,Théodose follows the rue du Faubourg Saint-Jacques,,Théodose,Théodose,,,,,,,Event
Les employés,E,XIX,La Comédie Humaine,Scènes de la vie parisienne,94,94,Outer Left-Bank Faubourgs,Residence,rue du Faubourg Saint-Jacques,"""rue du Faubourg Saint-Jacques, Paris, France""",Faubourg Saint-Jacques,48.836743,2.338293,Phellion lives in the rue du Faubourg Saint-Jacques,,Phellion,Phellion,,,,,,,Fact
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,356,356,Outer Left-Bank Faubourgs,Residence,rue du Montparnasse,"""rue du Montparnasse, Paris, France""",Faubourg Saint-Jacques,48.843198,2.326484,Marshal Hulot has a house in the rue du Montparnasse,,Marshal Hulot,Marshal Hulot,,,,,,,Fact
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,357,357,Outer Left-Bank Faubourgs,Residence,rue du Montparnasse,"""rue du Montparnasse, Paris, France""",Faubourg Saint-Jacques,48.843198,2.326484,Marshal Hulot has a house in the rue du Montparnasse,,Marshal Hulot,Marshal Hulot,,,,,,,
Les employés,E,XIX,La Comédie Humaine,Scènes de la vie parisienne,94,94,Outer Left-Bank Faubourgs,School,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,Phellion dines in a school in the rue Notre-Dame-des-Champs,,Phellion,Phellion,,,,,,,Event
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,353,353,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,Fact
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,357,357,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,358,358,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,358,358,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,362,362,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,387,387,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,435,435,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,449,449,Outer Left-Bank Faubourgs,Residence,rue Notre-Dame-des-Champs,"""rue Notre-Dame-des-Champs, Paris, France""",,48.844259,2.330231,The Bourlacs live in the rue Notre-Dame-des-Champs,,Bourlacs,Bourlacs,,,,,,,
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,100,100,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,Description of the rue de I'Ouest,,,,,,,,,,Description
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,101,101,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,Description of the rue de I'Ouest,,,,,,,,,,
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,101,101,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,Description of the rue de I'Ouest,,,,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,357,357,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,The rue de l'Ouest was not paved,,,,,,,,,,Fact
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,361,361,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,Silk-worm nursery in the rue de I'Ouest,,,,,,,,,,Description
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,362,362,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,Silk-worm nursery in the rue de I'Ouest,,,,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,362,362,Outer Left-Bank Faubourgs,Street,rue de l'Ouest,"""rue de l'Ouest, Paris, France""",,48.835857,2.318825,Godefroid goes to the cross-road of the rue de l'Ouest,,Godefroid,Godefroid,,,,,,,Event
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,7,7,Outer Left-Bank Faubourgs,Residence,rue Saint-Cathérine-d'Enfer,"""rue Saint-Cathérine-d'Enfer, Paris, France""",,48.859924,2.310068,Thuillier house near the rue Sainte-Catherine-d'Enfer,,Thuillier,Thuiffier,,,,,,,Description
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,448,448,Outer Left-Bank Faubourgs,Residence,rue Saint-Cathérine-d'Enfer,"""rue Saint-Cathérine-d'Enfer, Paris, France""",,48.859924,2.310068,Barbet lived in the rue Sainte-Catherine-d'Enfer,,Barbet,Barbet,,,,,,,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,5,5,Outer Left-Bank Faubourgs,Residence,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.859924,2.341795,Thuillier house half way down the rue Saint-Dominique d'Enfer,,Thuillier,Barbet,,,,,,,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,14,14,Outer Left-Bank Faubourgs,Residence,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.859924,2.341795,Thuillier house half way down the rue Saint-Dominique d'Enfer,,Thuillier,Barbet,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,34,34,Outer Left-Bank Faubourgs,Residence,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.859924,2.341795,Thuillier house half way down the rue Saint-Dominique d'Enfer,,Thuillier,Barbet,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,34,34,Outer Left-Bank Faubourgs,Residence,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.859924,2.341795,Thuillier house half way down the rue Saint-Dominique d'Enfer,,Thuillier,Barbet,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,32,32,Outer Left-Bank Faubourgs,Street,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.845795,2.341795,Colleville near the rue Saint-Dominique,,Colleville,Colleville,,,,,,,Event
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,159,159,Outer Left-Bank Faubourgs,Business,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.845795,2.341795,"""Théodose is a lawyer, rue Saint-Dominique (d'Enfer)""",,Théodose,Théodose,,,,,,,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,163,163,Outer Left-Bank Faubourgs,Business,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.845795,2.341795,"""Théodose is a lawyer, rue Saint-Dominique (d'Enfer)""",,Théodose,Théodose,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,174,174,Outer Left-Bank Faubourgs,Business,rue Saint-Dominique d'Enfer,"""rue Saint-Dominique d'Enfer, Paris, France""",,48.845795,2.341795,"""Théodose is a lawyer, rue Saint-Dominique (d'Enfer)""",,Théodose,Théodose,,,,,,,
La peau de chagrin,PC,XXVII,La Comédie Humaine,études philosophiques,237,237,Outer Left-Bank Faubourgs,Street,rue de Ia Santé,"""rue de Ia Santé, Paris, France""",,48.84105,2.306445,Raphaël and Planchette go to the rue de Ia Santé to see Spieghalter,,Raphaël::Planchette::Spieghalter,"""Raphaël, Planchette, Spieghalter""",,,,,,,Event
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,101,101,Outer Left-Bank Faubourgs,Residence,rue de Vaugirard,"""rue de Vaugirard, Paris, France""",,48.840817,2.33708,Houses near the rue de Vaugirard,,,,,,,,,,Description
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,392,392,Outer Left-Bank Faubourgs,Business,rue de Vaugirard,"""rue de Vaugirard, Paris, France""",,48.840817,2.33708,Printing-house in the rue de Vaugirard,,,,,,,,,,Description
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,400,400,Outer Left-Bank Faubourgs,Street,rue de Vaugirard,"""rue de Vaugirard, Paris, France""",,48.840817,2.33708,Godefroid follows the rue de Vaugirard,,Godefroid,Godefroid,,,,,,,Event
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,357,357,Outer Left-Bank Faubourgs,Street,avenue de l'Observatoire,"""avenue de l'Observatoire, Paris, France""",,48.840291,2.336744,Godefroid reaches the avenue de l'Observatoire,,Godefroid,Godefroid,,,,,,,Event
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,448,448,Outer Left-Bank Faubourgs,Street,avenue de l'Observatoire,"""avenue de l'Observatoire, Paris, France""",,48.840291,2.336744,M. Bernard and Népomucène in the avenue de l'Observatoire,,M. Bernard::Népomucène,"""M. Bernard, Népomucène""",,,,,,,Event
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,100,100,Outer Left-Bank Faubourgs,Street,allée de de I'Observatoire,"""allée de de I'Observatoire, Paris, France""",,48.840291,2.336744,The allée de l'Observatoire,,,,,,,,,,Description
Illusions perdues,IP,XII,La Comédie Humaine,Scènes de la vie de province,110,110,Outer Left-Bank Faubourgs,Street,allée de de I'Observatoire,"""allée de de I'Observatoire, Paris, France""",,48.840291,2.336744,The allée de l'Observatoire,,,,,,,,,,
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,447,447,Outer Left-Bank Faubourgs,Bridge,pont d'Iéna,"""pont d'Iéna, Paris, France""",,48.859479,2.292646,Auguste crosses the pont d'Iéna,,Auguste,Auguste,,,,,,,Event
Béatrix,Béat,V,La Comédie Humaine,Scènes de la vie de province,256,256,Outer Left-Bank Faubourgs,Bridge,pont d'Iéna,"""pont d'Iéna, Paris, France""",,48.859479,2.292646,Carriage of Calyste and Saline crosses the pont d'Iéna,,Calyste::Saline,"""Calyste, Saline""",,,,,,,Event
Splendeurs et misères des courtisanes,SMC,XV,La Comédie Humaine,Scènes de la vie parisienne,167,167,Outer Left-Bank Faubourgs,Bridge,pont de Neuilly,"""pont de Neuilly, Paris, France""",,48.8849983,2.259722,Nucingen looks for unknown woman at the pont de Neuilly,,Nucingen,Nucingen,,,,,,,Event
Splendeurs et misères des courtisanes,SMC,XV,La Comédie Humaine,Scènes de la vie parisienne,167,167,Outer Left-Bank Faubourgs,Bridge,pont de Neuilly,"""pont de Neuilly, Paris, France""",,48.8849983,2.259722,Nucingen looks for unknown woman at the pont de Neuilly,,Nucingen,Nucingen,,,,,,,Event
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,35,35,Outer Left-Bank Faubourgs,Residence,impasse des Feuillantines,"""impasse des Feuillantines, Paris, France""",,48.841731,2.342248,Phellion has a little house in the impasse des Feuillantines,,Phellion,Phellion,,,,,,,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,89,89,Outer Left-Bank Faubourgs,Residence,impasse des Feuillantines,"""impasse des Feuillantines, Paris, France""",,48.841731,2.342248,Phellion has a little house in the impasse des Feuillantines,,Phellion,,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,89,89,Outer Left-Bank Faubourgs,Residence,impasse des Feuillantines,"""impasse des Feuillantines, Paris, France""",,48.841731,2.342248,Phellion has a little house in the impasse des Feuillantines,,Phellion,,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,151,151,Outer Left-Bank Faubourgs,Square,place de l'Observatoire,"""place de l'Observatoire, Paris, France""",,48.840291,2.336744,Théodose and Claparon have a rendez-vous at the place de l'Observatoire,,Théodose::Claparon,"""Théodose, Claparon""",,,,,,,Event
Béatrix,Béat,V,La Comédie Humaine,Scènes de la vie de province,70,70,Outer Left-Bank Faubourgs,Field,Champ-de-Mars,"""Champ-de-Mars, Paris, France""",,48.8560982,2.2980299,Félicité admires the Grande-Armée at the Champ-de-Mars,,Félicité,Félicité,,,Grande-Armée,,,,Event
